 Unlink Payment on Cancellation of Employee Advance, Aufheben der Zahlungsverknüpfung bei Stornierung des Mitarbeitervorschusses,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Beispiel:</b> SAL- {Vorname} - {Geburtsdatum.Jahr} <br> Dies erzeugt ein Passwort wie SAL-Jane-1972,
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Bedingungsbeispiele</h4>
<ol>
<li>Anwendung der Steuer, wenn der Arbeitnehmer zwischen dem 31.12.1937 und dem 01.01.1958 geboren ist (Arbeitnehmer im Alter von 60 bis 80 Jahren)<br>
<code>Bedingung: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>",
Abbr,Abkürzung,
About,Über,
Absent,Abwesend,
Absent Days,Abwesende Tage,
Academics User,Benutzer: Lehre,
Accepted,Akzeptiert,
Account,Konto,
Account Head,Konto,
Accounting,Buchhaltung,
Accounting & Payment,Buchhaltung & Zahlung,
Accounting Details,Buchhaltungs-Details,
Accounting Dimensions,Buchhaltungsdimension,
Accounts,Konten,
Action,Aktion,
Active,Aktiv,
Activities,Aktivitäten,
Activity Name,Aktivitätsname,
Actual Amount,Tatsächliche Menge,
Actual Cost,Ist-Kosten,
Actual Encashable Days,Tatsächliche einlösbare Tage,
Add Day-wise Dates,Tagesweise Daten hinzufügen,
Add unused leaves from previous allocations,Ungenutzten Urlaub von vorherigen Zuteilungen hinzufügen,
Add unused leaves from previous leave period's allocation to this allocation,Ungenutzte Urlaubstage aus der Zuteilung des vorherigen Urlaubszeitraums zu dieser Zuteilung hinzufügen,
Added On,Hinzugefügt am,
Additional Amount,Zusatzbetrag,
Additional Information ,Weitere Informationen ,
Additional Salary,Zusätzliches Gehalt,
Additional Salary ,Zusätzliches Gehalt,
Address of Organizer,Adresse des Veranstalters,
Advance,Vorschuss,
Advance Account,Vorauskonto,
Advance Amount,Anzahlungsbetrag,
Advance Paid,Angezahlt,
Advance Payment,Anzahlung,
Advance Payments,Anzahlungen,
Advanced Filters,Erweiterte Filter,
Advances,Anzahlungen,
All,Alle,
Allocate Based On Leave Policy,Zuteilen basierend auf der Abwesenheitsrichtlinie,
Allocate on Day,Zuteilung an Tag,
Allocated Amount,Zugewiesener Betrag,
Allocation,Zuweisung,
Allow Employee Checkin from Mobile App,Einstempeln über die mobile App zulassen,
Allow Encashment,Erlaube zulassen,
Allow Geolocation Tracking,Standorterfassung erlauben,
Allow Multiple Shift Assignments for Same Date,Mehrere Schichtzuweisungen für dasselbe Datum zulassen,
Allow Negative Balance,Negativen Saldo zulassen,
Allow Over Allocation,Überzuweisung erlauben,
Allow Tax Exemption,Steuerbefreiung zulassen,
Allow User,Benutzer zulassen,
Allow Users,Benutzer zulassen,
Allow check-out after shift end time (in minutes),Auschecken nach Schichtende erlauben (in Minuten),
Allow the following users to approve Leave Applications for block days.,"Zulassen, dass die folgenden Benutzer Urlaubsanträge für Blöcke von Tagen genehmigen können.",
Allows allocating more leaves than the number of days in the allocation period.,Ermöglicht die Zuweisung von mehr Abwesenheiten als die Anzahl der Tage im Zuweisungszeitraum.,
Alternating entries as IN and OUT during the same shift,Wechselnde Eingaben wie IN und OUT während derselben Schicht,
Amended From,Abgeändert von,
Amount,Betrag,
Amount based on formula,"Menge, bezogen auf Formel",
Amount claimed via Expense Claim,Über die Auslagenabrechnung geltend gemachter Betrag,
Amount of expense,Betrag der Ausgaben,
Amount that has been paid against this advance,"Betrag, der auf diesen Vorschuss gezahlt wurde",
Annual Allocation,Jährliche Zuteilung,
Annual Taxable Amount,Jährlicher steuerpflichtiger Betrag,
Any other details,Weitere Details,
"Any other remarks, noteworthy effort that should go in the records","Andere Bemerkungen, bemerkenswerte Bemühungen, die in die Aufzeichnungen aufgenommen werden sollten",
Applicable Earnings Component,Anwendbare Einkommenskomponente,
Applicable For,Anwenden für,
Applicable in the case of Employee Onboarding,Anwendbar im Falle von Mitarbeiter-Onboarding,
Applicant Email Address,E-Mail-Adresse des Antragstellers,
Applicant Name,Bewerbername,
Applicant Rating,Bewerber Bewertung,
Applicant for a Job,Bewerber für eine Stelle,
Applies to Company,Gilt für Unternehmen,
Apply / Approve Leaves,Abwesenheiten beantragen / genehmigen,
Appointment Date,Termin,
Appointment Letter,Ernennungsschreiben,
Appointment Letter Template,Termin Briefvorlage,
Appointment Letter content,Inhalt des Ernennungsschreibens,
Appraisal,Bewertung,
Appraisal Cycle,Beurteilungszyklus,
Appraisal Goal,Bewertungsziel,
Appraisal KRA,Beurteilung KRA,
Appraisal Linking,Verknüpfung von Beurteilungen,
Appraisal Overview,Beurteilungsübersicht,
Appraisal Template,Beurteilungsvorlage,
Appraisal Template Goal,Bewertungsvorlage zur Zielorientierung,
