 Unlink Payment on Cancellation of Employee Advance,従業員の前進のキャンセルに関する支払いを解除します,
"""From Date"" can not be greater than or equal to ""To Date""",「日付から」は「これまで」以上になることはできません,
% Utilization (B + NB) / T,％利用（B + NB） / t,
% Utilization (B / T),％利用（b / t）,
'employee_field_value' and 'timestamp' are required.,「Employee_field_value」と「タイムスタンプ」が必要です。,
) for {0},）{0},
...Fetching Employees,...従業員の取得,
<b>Base</b> amount has not been set for the following employee(s): {0},<b>ベース</b>は、次の従業員に設定されていません：{0},
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>例：</b> sal- {first_name}  -  {date_of_birth.year} <br>これにより、Sal-Jane-1972のようなパスワードが生成されます,
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,<b>割り当てられた総葉</b>は、割り当て期間の日数を超えています,
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>ヘルプ</h3>

<p>注：</p>

<ol>
<li>従業員の基本給を使用するためにフィールド<code>ベース</code>を使用</li>
<li>条件と式で給与コンポーネントの略語を使用します。 <code> bs =基本給与</code> </li>
<li>条件と式の従業員の詳細には、フィールド名を使用します。 <code>雇用タイプ=雇用_type </code> <code> branch = branch </code> </li>
<li>条件と式の給与スリップからフィールド名を使用します。 <code>支払いdays = payment_days </code> <code> withe pay = reave_without_pay </code> </li>
<li>条件に基づいて直接金額を入力することもできます。例3を参照</li> </ol>

<h4>例</h4>
<ol>
<li> <code> base </code>に基づいて基本給与の計算
<pre> <code>条件：base＆lt; 10000 </code> </pre>
<pre> <code>式：base * .2 </code> </pre> </li>
<li>基本的な給与<code> bs </code>に基づいてHRAの計算 
<pre> <code>条件：bs＆gt; 2000 </code> </pre>
<pre> <code>式：bs * .1 </code> </pre> </li>
<li>雇用タイプに基づいてTDSの計算<code> employment_type </code> 
<pre> <code>条件：雇用_type == ""intern"" </code> </pre>
<pre> <code>金額：1000 </code> </pre> </li>
</ol>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>条件の例</h4>
<ol>
<li>税金の適用従業員が31-12-1937から01-01-1958の間に生まれた場合（60歳から80歳の従業員）<br>
<code>条件：date_of_birth＆gt; date（1937、12、31）およびdate_of_birth＆lt; date（1958、01、01）</code> </li> <br> <li>従業員の性別<br>
<code>条件：性別== ""MALE"" </code> </li> <br>
<li>給与コンポーネントによる税金の適用<br>
<code>条件：base＆gt; 10000 </code> </li> </ol>",
<h5>Employees on Half Day</h5>,<h5>半日の従業員</h5>,
<h5>Unmarked Employees</h5>,<h5>マークのない従業員</h5>,
<hr>,<hr>,
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<表クラス= 'テーブルテーブルボーダー'> <tr> <th> {0} </th> <th> {1} </th> </tr>,
A Job Requisition for {0} requested by {1} already exists: {2},{1}によって要求された{0}の求人はすでに存在します：{2},
A friendly reminder of an important date for our team.,私たちのチームにとって重要な日付の友好的なリマインダー。,
A {0} exists between {1} and {2} (,{0}は{1}と{2}の間に存在します（,
Abbr,abbr,
About,について,
Absent,不在,
Absent Days,不在の日,
Absent Records,レコードがない,
Academics User,アカデミックユーザー,
Accepted,受け入れられました,
Account,アカウント,
Account Head,アカウントヘッド,
Account No,アカウント番号,
"Account type cannot be set for payroll payable account {0}, please remove and try again",アカウントの種類を給与計算済みアカウントに設定できません{0}、削除して再試行してください,
Account {0} does not belong to company: {1},アカウント{0}は会社に属していません：{1},
Account {0} does not match with Company {1},アカウント{0}は会社{1}と一致しません,
Accounting,会計,
Accounting & Payment,会計と支払い,
Accounting Details,会計の詳細,
Accounting Dimensions,会計次元,
Accounting Ledger,会計元帳,
Accounts,アカウント,
Accounts not set for Salary Component {0},給与コンポーネントに設定されていないアカウント{0},
Accrual Journal Entry for salaries from {0} to {1},{0}から{1}への給与の発生ジャーナルエントリ,
Action,アクション,
Action on Submission,提出時のアクション,
Actions,アクション,
Active,アクティブ,
Activities,活動,
Activity Name,アクティビティ名,
Actual Amount,実際の金額,
Actual Cost,実際のコスト,
Actual Encashable Days,実際の獲得可能な日,
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,休暇申請が異なる休暇の割り当てにまたがるため、実際の残高は利用できません。次の割り当て中に補償される葉をまだ申請できます。,
Add Business trip request,出張申請,
Add Day-wise Dates,日ごとの日付を追加します,
Add Employee Property,従業員プロパティを追加します,
Add Feedback,フィードバックを追加します,
Add slack for external users,Slack社外利用者,
Add to Details,詳細に追加します,
Add unused leaves from previous allocations,以前の割り当てから未使用の葉を追加します,
Add unused leaves from previous leave period's allocation to this allocation,この割り当てに前の休暇期間の割り当てから未使用の葉を追加する,
Added On,追加されました,
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,給与構造には税構成要素がなかったため、給与コンポーネントマスターから税金コンポーネントを追加しました。,
Added to details,詳細に追加されました,
Additional Amount,追加金額,
Additional Information ,追加情報,
Additional PF,追加のPF,
Additional Salary,追加の給与,
Additional Salary ,追加の給与,
Additional Salary for referral bonus can only be created against Employee Referral with status {0},紹介ボーナスの追加給与は、ステータス{0}で従業員の紹介に対してのみ作成できます,
Additional Salary for this salary component with {0} enabled already exists for this date,{0}を有効にしたこの給与コンポーネントの追加給与は、この日付に既に存在します,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},追加の給与：{0}給与コンポーネントにはすでに存在します：{1} {2}および{3}の場合,
Address of Organizer,主催者の住所,
Advance,前進,
Advance Account,事前のアカウント,
