<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>مثال:</b> SAL-{first_name}-{date_of_birth.year} <br>این یک گذرواژه مانند SAL-Jane-1972 ایجاد می‌کند,
Abbr,مخفف,
About,درباره,
Absent,غایب,
Absent Days,روزهای غیبت,
Academics User,کاربر دانشگاهی,
Accepted,پذیرفته شده,
Account,حساب,
Account Head,سرفصل حساب,
Accounting,حسابداری,
Accounting & Payment,حسابداری و پرداخت,
Accounting Details,جزئیات حسابداری,
Accounting Dimensions,ابعاد حسابداری,
Accounts,حساب ها,
Action,اقدام,
Active,فعال,
Activities,فعالیت ها,
Activity Name,نام فعالیت,
Actual Amount,مبلغ واقعی,
Actual Cost,هزینه واقعی,
Actual Encashable Days,روزهای واقعی قابل بازخرید,
Add Day-wise Dates,افزودن تاریخ‌ها بر اساس روز,
Add unused leaves from previous allocations,افزودن مرخصی‌های استفاده نشده از تخصیص های قبلی,
Add unused leaves from previous leave period's allocation to this allocation,مرخصی‌های استفاده نشده از تخصیص دوره مرخصی قبلی را به این تخصیص اضافه کنید,
Added On,اضافه شده در,
Additional Amount,مبلغ اضافی,
Additional Information , اطلاعات تکمیلی,
Additional Salary,حقوق اضافی,
Additional Salary , حقوق اضافی,
Address of Organizer,آدرس سازمان دهنده,
Advance,پیشرفت,
Advance Account,پیش حساب,
Advance Amount,مبلغ پیش پرداخت,
Advance Paid,پیش پرداخت شده,
Advance Payment,پیش پرداخت,
Advance Payments,پیش پرداخت,
Advanced Filters,فیلترهای پیشرفته,
Advances,پیش پرداخت ها,
All,همه,
Allocate Based On Leave Policy,تخصیص بر اساس سیاست مرخصی,
Allocate on Day,اختصاص در روز,
Allocated Amount,مبلغ تخصیص یافته,
Allocation,تخصیص,
Allow Employee Checkin from Mobile App,اجازه ثبت ورود به کارمند از برنامه تلفن همراه,
Allow Encashment,اجازه بازخرید,
Allow Geolocation Tracking,اجازه ردیابی موقعیت جغرافیایی,
Allow Leave Application After (Working Days),اجازه درخواست مرخصی بعد از (روزهای کاری),
Allow Multiple Shift Assignments for Same Date,اجازه تخصیص چندین شیفت برای یک تاریخ,
Allow Negative Balance,اجازه تراز منفی,
Allow Over Allocation,اجازه بیش از تخصیص,
Allow Tax Exemption,اجازه معافیت مالیاتی,
Allow User,کاربر مجاز,
Allow Users,کاربران مجاز,
Allow check-out after shift end time (in minutes),اجازه خروج پس از پایان نوبت (بر حسب دقیقه),
Allow the following users to approve Leave Applications for block days.,به کاربران زیر اجازه دهید تا درخواست‌های مرخصی را برای روزهای مسدود تأیید کنند.,
Allows allocating more leaves than the number of days in the allocation period.,امکان تخصیص مرخصی‌های بیشتر از تعداد روزهای دوره تخصیص را فراهم می‌کند.,
Alternating entries as IN and OUT during the same shift,ورودی های متناوب به صورت IN و OUT در همان شیفت,
Amended From,اصلاح شده از,
Amount,مبلغ,
Amount based on formula,مبلغ بر اساس فرمول,
Amount of expense,مبلغ هزینه,
Amount scheduled for deduction via salary,مبلغ زمان‌بندی شده برای کسر از طریق حقوق,
Annual Allocation,تخصیص سالانه,
Annual Taxable Amount,مبلغ مشمول مالیات سالانه,
Any other details,هر جزئیات دیگری,
"Any other remarks, noteworthy effort that should go in the records",هر ملاحظات دیگری، تلاش قابل توجهی است که باید در رکوردها ثبت شود,
Applicable Earnings Component,جزء سود قابل اجرا,
Applicable For,قابل استفاده برای,
Applicable in the case of Employee Onboarding,قابل اجرا در مورد آشناسازی کارکنان,
Applicant Email Address,آدرس ایمیل متقاضی,
Applicant Name,نام متقاضی,
Applicant Rating,رتبه بندی متقاضی,
Applicant for a Job,متقاضی کار,
Applies to Company,برای شرکت اعمال می‌شود,
Apply / Approve Leaves,درخواست / تایید مرخصی,
Appointment Date,تاریخ انتصاب,
Appointment Letter,حکم انتصاب,
Appointment Letter Template,الگوی حکم انتصاب,
Appointment Letter content,محتوای حکم انتصاب,
Appraisal,ارزیابی,
Appraisal Cycle,چرخه ارزیابی,
Appraisal Goal,هدف ارزیابی,
Appraisal KRA,ارزیابی KRA,
Appraisal Linking,پیوند ارزیابی,
Appraisal Overview,بررسی اجمالی ارزیابی,
Appraisal Template,الگوی ارزیابی,
Appraisal Template Goal,هدف الگوی ارزیابی,
Appraisal Template Title,عنوان الگوی ارزیابی,
Appraisee,ارزیاب,
Approval,تصویب,
Approval Status,وضعیت تایید,
Approved,تایید شده,
Approver,تصویب کننده,
Apps,برنامه ها,
Archived,بایگانی شد,
Arrival Datetime,تاریخ ورود,
Asset Name,نام دارایی,
Assets Allocated,دارایی های تخصیص یافته,
Assignment based on,تخصیص بر اساس,
Associated Document,سند مرتبط,
Associated Document Type,نوع سند مرتبط,
Attachments,پیوست ها,
Attendance,حضور و غیاب,
Attendance Date,تاریخ حضور و غیاب,
Attendance From Date,حضور و غیاب از تاریخ,
Attendance Marked,حضور و غیاب مشخص شده,
Attendance Request,درخواست حضور و غیاب,
Attendance Settings,تنظیمات حضور و غیاب,
Attendance To Date,حضور و غیاب تا تاریخ,
Attendance will be marked automatically only after this date.,حضور و غیاب تنها پس از این تاریخ به صورت خودکار علامت گذاری می‌شود.,
Attendees,شرکت کنندگان,
Auto Attendance Settings,تنظیمات حضور و غیاب خودکار,
Auto Leave Encashment,بازخرید خودکار مرخصی,
Automated Based on Goal Progress,خودکار بر اساس پیشرفت هدف,
"Automatically fetches all assets allocated to the employee, if any",به طور خودکار تمام دارایی های تخصیص یافته به کارمند را در صورت وجود، واکشی می‌کند,
Available Leave(s),مرخصی(های) موجود,
Average Feedback Score,میانگین امتیاز بازخورد,
Average Rating,میانگین امتیاز,
"Average of Goal Score, Feedback Score, and Self Appraisal Score (out of 5)",میانگین امتیاز گل، امتیاز بازخورد و امتیاز خود ارزیابی (از 5),
Awaiting Response,در انتظار پاسخ,
Bank Account,حساب بانکی,
Bank Account No,شماره حساب بانکی,
Bank Details,اطلاعات دقیق بانکی,
Bank Name,نام بانک,
Bank Remittance,حواله بانکی,
Base,پایه,
Base & Variable,پایه و متغیر,
Begin On (Days),شروع در (بر حسب روز),
