 Unlink Payment on Cancellation of Employee Advance,Çalışan Avansı İptalinde Ödemeyi Bağlantıdan Kaldır,
"""From Date"" can not be greater than or equal to ""To Date""","""Başlangıç Tarihi"", ""Bitiş Tarihi ""nden büyük veya eşit olamaz",
% Utilization (B + NB) / T,% Kullanım (B + NB) / T,
% Utilization (B / T),% Kullanım (B / T),
'employee_field_value' and 'timestamp' are required.,'employee_field_value' ve 'timestamp' gereklidir.,
) for {0},) {0} için,
...Fetching Employees,...Personelleri Getir,
<b>Base</b> amount has not been set for the following employee(s): {0},Aşağıdaki personeller için <b>baz</b> tutar belirlenmemiştir: {0},
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,"<b>Örnek:</b> SAL-{first_name}-{date_of_birth.year} <br>Bu, SAL-Jane-1972 gibi bir şifre üretir.",
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,"<b>Toplam Verilen İzinler</b>, izin dönemindeki gün sayısından fazladır",
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>Yardım</h3>

<p>Notlar:</p>

<ol>
<li>Personelin brüt maaşını kullanmak için <code>base</code> alanını kullanın</li>
<li>Koşullar ve formüllerde Maaş Bileşeni kısaltmalarını kullanın. <code>BS = Brüt Maaş</code></li>
<li>Personel detayları için koşullar ve formüllerde alan adını kullanın. <code>İstihdam Türü = employment_type</code><code>Şube = branch</code></li>
<li>Maaş Bordrosundaki alan adını koşullar ve formüllerde kullanın. <code>Ödeme Günleri = payment_days</code><code>Ücretsiz izin = leave_without_pay</code></li>
<li>Doğrudan Miktar da Koşula bağlı olarak girilebilir. Örnek 3'e bakın</li></ol>

<h4>Örnekler</h4>
<ol>
<li><code>base</code> üzerinden Brüt Maaş hesaplama
<pre><code>Koşul: base &lt; 10000</code></pre>
<pre><code>Formül: base * .2</code></pre></li>
<li>Brüt Maaşa dayalı HRA hesaplama<code>BS</code> 
<pre><code>Koşul: BS &gt; 2000</code></pre>
<pre><code>Formül: BS * .1</code></pre></li>
<li>İstihdam Türüne dayalı Gelir Vergisi Kesintisi hesaplama<code>employment_type</code> 
<pre><code>Koşul: employment_type==""Stajyer""</code></pre>
<pre><code>Miktar: 1000</code></pre></li>
</ol>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Koşul Örnekleri</h4>
<ol>
<li>31-12-1937 ile 01-01-1958 tarihleri arasında doğan personelden vergi alınması (60 ile 80 yaş arası personel)<br>
<code>Koşul: date_of_birth&gt;date(1937, 12, 31) ve date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Personelin cinsiyetine göre vergilendirme<br>
<code>Koşul: gender==""Erkek""</code></li><br>
<li>Maaş Bileşeni üzerinden vergilendirme<br>
<code>Koşul: base &gt; 10000</code></li></ol>",
<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,<table class='table table-bordered'><tr><th>{0}</th><th>{1}</th></tr>,
A Job Requisition for {0} requested by {1} already exists: {2},{1} tarafından talep edilen {0} için zaten bir İş Talebi mevcut: {2},
A friendly reminder of an important date for our team.,Ekibimiz için önemli bir tarihin hatırlatması.,
A {0} exists between {1} and {2} (,{1} ve {2} arasında bir {0} var (,
Abbr,Kısaltma,
About,Hakkında,
Absent,Gelmedi,
Absent Days,Devamsızlık Günleri,
Absent Records,Devamsızlık Kayıtları,
Academics User,Akademik Kullanıcı,
Accepted,Kabul Edildi,
Account,Hesap,
Account Head,Ana Hesap,
Account No,Hesap No,
"Account type cannot be set for payroll payable account {0}, please remove and try again","Bordro ödenecek {0} hesabı için hesap türü ayarlanamıyor, lütfen kaldırın ve tekrar deneyin",
Account {0} does not belong to company: {1},"{0} isimli Hesap, {1} şirketine ait değil.",
Account {0} does not match with Company {1},"{0} Hesabı, {1} Şirketi ile eşleşmiyor",
Accounting,Muhasebe,
Accounting & Payment,Hesap Bilgisi & Ödeme,
Accounting Details,Muhasebe Detayları,
Accounting Dimensions,Muhasebe Boyutları,
Accounting Ledger,Muhasebe Defteri,
Accounts,Muhasebe,
Accounts not set for Salary Component {0},Maaş Bileşeni için ayarlanmamış hesaplar {0},
