 Unlink Payment on Cancellation of Employee Advance, Ta bort länk till betalning vid annullering av personal förskott,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Exempel:</b> SAL- {first_name} - {date_of_birth.year} <br> Detta kommer att skapa lösenord som SAL-Jane-1972,
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>Hjälp</h3>

<p>Anmärkningar:</p>

<ol>
<li>Använd fält <code>bas</code> för att använda grundlön för personal</li>
<li>Använd löne komponent förkortningar i villkor och formler. <code>BS = Grundlön</code></li>
<li>Använd fält namn för personal detaljer i villkor och formler. <code>Anställning Typ = employment_type</code><code>Branch = branch</code></li>
<li>Använd fält namn från lönespecifikation i villkor och formler. <code>Betalning Dagar = payment_days</code><code>Ledighet utan lön = leave_without_pay</code></li>
<li>Belopp kan också anges direkt baserat på villkor. Se exempel 3</li></ol>

<h4>Exempel</h4>
<ol>
<li>Beräkna grundlön baserat på <code>bas</code>
<pre><code>Villkor: bas &lt; 10 000</code></pre>
<pre><code>Formel: bas * .2</code></pre></li>
<li>Beräknar HRA baserat på grundlön<code>BS</code>
<pre><code>Villkor: BS &gt; 2000</code></pre>
<pre><code>Formel: BS * .1</code></pre></li>
<li>Beräknar TDS baserat på Anställning Typ<code>employment_type</code>
<pre><code>Villkor: employment_type==""Intern""</code></pre>
<pre><code>Belopp: 1000</code></pre></li>
</ol>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Villkor Exempel</h4>
<ol>
<li>Tillämpa skatt för personal född mellan 1937-12-31 och 1958-01-01 (personal i åldrarna 60 till 80)<br>
<code>Villkor: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Tillämpa skatt efter personal kön<br>
<code>Villkor: gender==""Man""</code></li><br>
<li>Tillämpa skatt efter löne komponent<br>
<code>Villkor: bas &gt; 10 000</code></li></ol>",
<h5>Employees on Half Day</h5>,<h5>Halvdag Personal</h5>,
<h5>Unmarked Employees</h5>,<h5>Ej Angiven Personal</h5>,
<hr>,<hr>,
Abbr,Förkortning,
About,Om,
Absent,Frånvarande,
Absent Days,Frånvarande Dagar,
Academics User,Läsår Användare,
Accepted,Accepterad,
Account,Konto,
Account Head,Konto,
Accounting,Bokföring,
Accounting & Payment,Bokföring & Betalning,
Accounting Details,Bokföring Detaljer,
Accounting Dimensions,Bokföring Dimensioner,
Accounts,Bokföring,
Action,Åtgärd,
Active,Aktiv,
Activities,Aktiviteter,
Activity Name,Aktivitet Namn,
Actual Amount,Faktiskt Belopp,
Actual Cost,Faktisk Kostnad,
Actual Encashable Days,Faktiska Uttagbara Dagar,
Add Day-wise Dates, Lägg till Veckodagar,
Add unused leaves from previous allocations,Lägg till oanvänd frånvaro från tidigare tilldelningar,
Add unused leaves from previous leave period's allocation to this allocation,Lägg till oanvänd frånvaro från tidigare frånvaro period tilldelning till denna tilldelning,
Added On,Tillagd,
Additional Amount,Extra Belopp,
Additional Information ,Extra Information,
Additional Salary,Extra Lön,
Additional Salary ,Extra Lön,
Address of Organizer,Arrangör Adress,
Advance,Förskott,
Advance Account,Förskott Konto,
Advance Amount,Förskott Belopp,
Advance Paid,Förskott Betalning,
Advance Payment,Förskott Betalning,
Advance Payments,Förskott Betalningar,
Advanced Filters,Avancerade Filter,
Advances,Förskott,
All,Alla,
Allocate Based On Leave Policy,Tilldela Baserat På Frånvaro Princip,
Allocate on Day,Tilldela,
Allocated Amount,Tilldelad Belopp,
Allocation,Tilldelning,
