 Unlink Payment on Cancellation of Employee Advance, Prekini vezu plaćanja prilikom otkazivanja predujma personala,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Primjer:</b> SAL-{first_name}-{date_of_birth.year} <br>Ovo će generisati lozinku poput SAL-Jane-1972,
"<h3>Help</h3>

<p>Notes:</p>

<ol>
<li>Use field <code>base</code> for using base salary of the Employee</li>
<li>Use Salary Component abbreviations in conditions and formulas. <code>BS = Basic Salary</code></li>
<li>Use field name for employee details in conditions and formulas. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Use field name from Salary Slip in conditions and formulas. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direct Amount can also be entered based on Condition. See example 3</li></ol>

<h4>Examples</h4>
<ol>
<li>Calculating Basic Salary based on <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>Calculating HRA based on Basic Salary<code>BS</code> 
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>Calculating TDS based on Employment Type<code>employment_type</code> 
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>","<h3>Pomoć</h3>

<p>Napomene:</p>

<ol>
<li>Koristi polje <code>base</code> za korištenje osnovne plate personala</li>
<li>Koristi kratice komponente plate u uslovima i formulama. <code>BS = Basic Salary</code></li>
<li>Koristi naziv polja za detalje o personalu u uslovima i formulama. <code>Employment Type = employment_type</code><code>Branch = branch</code></li>
<li>Koristi naziv polja iz Plate u uvjetima i formulama. <code>Payment Days = payment_days</code><code>Leave without pay = leave_without_pay</code></li>
<li>Direktan iznos se također može unijeti na osnovu stanja. Vidi primjer 3</li></ol>

<h4>Primjeri</h4>
<ol>
<li>Obračun osnovne plate na osnovu <code>base</code>
<pre><code>Condition: base &lt; 10000</code></pre>
<pre><code>Formula: base * .2</code></pre></li>
<li>HRA Obračun na osnovu osnovne plate<code>BS</code>
<pre><code>Condition: BS &gt; 2000</code></pre>
<pre><code>Formula: BS * .1</code></pre></li>
<li>TDS Obračun na osnovu tipa zaposlenja<code>employment_type</code>
<pre><code>Condition: employment_type==""Intern""</code></pre>
<pre><code>Amount: 1000</code></pre></li>
</ol>",
"<h4>Condition Examples</h4>
<ol>
<li>Applying tax if employee born between 31-12-1937 and 01-01-1958 (Employees aged 60 to 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Applying tax by employee gender<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Applying tax by Salary Component<br>
<code>Condition: base &gt; 10000</code></li></ol>","<h4>Primjeri Uvjeta</h4>
<ol>
<li>Primjena poreza ako je personal rođen između 31-12-1937 i 01-01-1958 (Personal u dobi od 60 do 80)<br>
<code>Condition: date_of_birth&gt;date(1937, 12, 31) and date_of_birth&lt;date(1958, 01, 01)</code></li><br><li>Primjena poreza prema spolu personala<br>
<code>Condition: gender==""Male""</code></li><br>
<li>Primjena poreza prema komponenti plaće<br>
<code>Condition: base &gt; 10000</code></li></ol>",
<h5>Employees on Half Day</h5>,<h5>Poludnevni Personal</h5>,
<h5>Unmarked Employees</h5>,<h5>Neobilježeni Personal</h5>,
<hr>,<hr>,
Abbr,Skr,
About,O,
Absent,Odsutan,
Absent Days,Dani Odsutnosti,
Academics User,Akademski korisnik,
Accepted,Prihvaćeno,
Account,Račun,
Account Head,Račun,
Accounting,Knjigovodstvo,
Accounting & Payment,Knjigovodstvo & Plaćanje,
Accounting Details,Računovodstveni detalji,
Accounting Dimensions,Knjigovodstvene Dimenzije,
Accounts,Knjigovodstvo,
Action,Radnja,
Active,Aktivan,
Activities,Aktivnosti,
Activity Name,Naziv Aktivnosti,
Actual Amount,Stvarni Iznos,
Actual Cost,Stvarni Trošak,
