<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>مثال:</b> SAL- {first_name} - {date_of_birth.year} <br> سيؤدي هذا إلى إنشاء كلمة مرور مثل SAL-Jane-1972,
Abbr,اسم مختصر,
Absent,غائب,
Absent Days,أيام الغياب,
Academics User,المستخدمين الأكادميين,
Accepted,مقبول,
Account,حساب,
Account Head,رئيس حساب,
Accounting,المحاسبة,
Accounting Details,تفاصيل المحاسبة,
Accounting Dimensions,أبعاد المحاسبة,
Accounts,الحسابات,
Action,حدث,
Active,نشط,
Activities,أنشطة,
Activity Name,اسم النشاط,
Actual Amount,الكمية الفعلية,
Actual Cost,التكلفة الفعلية,
Add unused leaves from previous allocations,إضافة الاجازات غير المستخدمة من المخصصات السابقة,
Additional Amount,مبلغ إضافي,
Additional Salary,راتب إضافي,
Additional Salary ,الراتب الإضافي,
Address of Organizer,عنوان المنظم,
Advance,مقدما,
Advance Account,حساب مقدم,
Advance Amount,المبلغ مقدما,
Advance Paid,مسبقا المدفوعة,
Advance Payments,دفعات مقدمة,
Advances,الدفعات المقدمة,
All,الكل,
Allocated Amount,المبلغ المخصص,
Allocation,توزيع,
Allow Encashment,السماح بالصرف,
Allow Negative Balance,السماح برصيد سالب,
Allow Tax Exemption,السماح بالإعفاء الضريبي,
Allow User,تسمح للمستخدم,
Allow Users,السماح للمستخدمين,
Allow check-out after shift end time (in minutes),السماح بتسجيل المغادرة بعد وقت انتهاء التحول (بالدقائق),
Allow the following users to approve Leave Applications for block days.,السماح للمستخدمين التاليين للموافقة على طلبات الحصول على إجازة في الأيام المحظورة,
Alternating entries as IN and OUT during the same shift,بالتناوب إدخالات مثل IN و OUT خلال نفس التحول,
Amended From,معدل من,
Amount,كمية,
Amount based on formula,القيمة بناءا على الصيغة,
Annual Allocation,التخصيص السنوي,
Any other details,أي تفاصيل أخرى,
Applicable For,قابل للتطبيق ل,
Applicable in the case of Employee Onboarding,ينطبق على حالة تشغيل الموظف,
Applicant Email Address,عنوان البريد الإلكتروني للمتقدم,
Applies to Company,ينطبق على شركة,
Appointment Date,تاريخ الموعد,
Appointment Letter,رسالة موعد,
Appointment Letter Template,قالب رسالة التعيين,
Appointment Letter content,محتوى رسالة التعيين,
Appraisal,تقييم,
Appraisal Goal,الغاية من التقييم,
Appraisal Template Goal,الغاية من قالب التقييم,
Appraisal Template Title,عنوان قالب التقييم,
Approval Status,حالة الموافقة,
Approver,المخول بالموافقة,
Archived,أرشفة,
Arrival Datetime,تارخ الوصول,
Asset Name,اسم الأصول,
Attachments,المرفقات,
Attendance,الحضور,
Attendance Date,تاريخ الحضور,
Attendance From Date,الحضور من تاريخ,
Attendance Marked,الحضور ملحوظ,
Attendance Request,طلب حضور,
Attendance To Date,الحضور إلى تاريخ,
Attendance will be marked automatically only after this date.,سيتم تمييز الحضور تلقائيًا بعد هذا التاريخ فقط.,
Attendees,الحضور,
Auto Attendance Settings,إعدادات الحضور التلقائي,
Auto Leave Encashment,إجازة مغادرة السيارات,
Awaiting Response,انتظار الرد,
Bank Account,حساب مصرفي,
Bank Account No,رقم الحساب البنكي,
Bank Details,تفاصيل البنك,
Bank Name,اسم المصرف,
Bank Remittance,التحويلات المصرفية,
Base,الاساسي,
Begin On (Days),ابدأ (بالأيام),
Begin check-in before shift start time (in minutes),ابدأ تسجيل الوصول قبل وقت بدء التحول (بالدقائق),
Beginner,مبتدئ,
Bimonthly,نصف شهري,
Block Date,تاريخ الحظر,
Block Days,الأيام المحظورة,
Body,الجسم,
Bonus Amount,أجمالي المكافأة,
Bonus Payment Date,تاريخ دفع المكافأة,
Branch,فرع,
Calculate Payroll Working Days Based On,حساب أيام عمل الرواتب على أساس,
Calculated in days,تحسب بالأيام,
Cancelled,ألغيت,
Carry Forward,المضي قدما,
Carry Forwarded Leaves,تحمل أوراق واحال,
Change,تغيير,
Check Vacancies On Job Offer Creation,التحقق من الوظائف الشاغرة عند إنشاء عرض العمل,
Check-in Date,تاريخ الوصول,
Check-out Date,موعد انتهاء الأقامة,
Claim Benefit For,فائدة للمطالبة,
Claim Date,تاريخ المطالبة,
Claimed,ادعى,
Claimed Amount,المبلغ المطالب به,
Clearance Date,تاريخ الاستحقاق,
Closed,مغلق,
Closing Notes,ملاحظات ختامية,
Color,اللون,
Comments,تعليقات,
Company,شركة,
Company Details,تفاصيل الشركة,
Compensatory Leave Request,طلب الإجازة التعويضية,
Completed,أكتمل,
Component,مكون,
Component properties and references ,خصائص المكونات والمراجع,
Condition,الحالة,
Condition and formula,الشرط والصيغة,
Conditions,الظروف,
Conditions and Formula variable and example,متغير الشروط والصيغة والمثال,
Conference,مؤتمر,
Consider Unmarked Attendance As,ضع في اعتبارك الحضور غير المحدد باسم,
Contact Email,عنوان البريد الإلكتروني,
Contact No.,الاتصال رقم,
Contact Number,رقم جهة الإتصال,
Copy of Invitation/Announcement,نسخة من الدعوة / الإعلان,
Cost,كلفة,
Cost Center,مركز التكلفة,
Cost Centers,مراكز التكلفة,
Costing,تكلف,
Country,الدولة,
Course,المقرر التعليمي,
Cover Letter,محتويات الرسالة المرفقة,
Create New Employee Id,إنشاء رمز موظف جديد,
Create Separate Payment Entry Against Benefit Claim,إنشاء إدخال دفع منفصل ضد مطالبات الاستحقاق,
Criteria,المعايير,
Currency,العملة,
Current,تيار,
Current Count,العدد الحالي,
Current Odometer value ,قيمة عداد المسافات الحالية,
Current Openings,الفتحات الحالية,
Daily,يوميا,
Daily Work Summary,ملخص العمل اليومي,
Daily Work Summary Group,مجموعة ملخص العمل اليومي,
Daily Work Summary Group User,مستخدم مجموعة ملخص العمل اليومي,
Daily Work Summary Replies,ملخص العمل اليومي الردود,
Dashboard,لوحة القيادة,
Date,تاريخ,
Date of Birth,تاريخ الميلاد,
Date of Joining,تاريخ الالتحاق بالعمل,
Declarations,التصريحات,
Declared Amount,المبلغ المعلن,
Deduct Full Tax on Selected Payroll Date,خصم الضريبة الكاملة على تاريخ الرواتب المحدد,
Deduct Tax For Unclaimed Employee Benefits,خصم الضريبة لمزايا الموظف غير المطالب بها,
Deduct Tax For Unsubmitted Tax Exemption Proof,خصم الضريبة للحصول على إعفاء من الضرائب غير معتمد,
Deduction,خصم,
Deductions,استقطاعات,
Default Account,الافتراضي حساب,
Default Amount,المبلغ الافتراضي,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,حساب الخزنة / البنك المعتاد سوف يعدل تلقائيا في القيود اليومية للمرتب عند اختيار هذا الوضع.,
Default Salary Structure,هيكل الراتب الافتراضي,
Deferred Expense Account,حساب المصروفات المؤجلة,
Delivery Trip,رحلة التسليم,
Department,قسم,
Department Approver,موافقة القسم,
Departure Datetime,موعد المغادرة,
Depends on Payment Days,يعتمد على أيام الدفع,
Description,وصف,
Designation,تعيين,
Designation Skill,مهارة التعيين,
Details,تفاصيل,
"Details of Sponsor (Name, Location)",تفاصيل الراعي (الاسم والموقع),
Determine Check-in and Check-out,تحديد الوصول والمغادرة,
Disable,تعطيل,
Disable Rounded Total,تعطيل الاجمالي المقرب,
Disabled,معطل,
Dispensed Amount (Pro-rated),المبلغ المخفَّض (المحسوب),
Do Not Include in Total,لا تدرج في المجموع,
Do not include in total,لا تدرج في المجموع,
Domestic,المنزلي,
Download Template,تحميل الوثيقة,
